#column density C+	C+2	C+3	C+4	Mg+	Ne+7	N+	N+2	N+3	O+	O+2	O+3	O+4	O+5	Si+	Si+2	Si+3	S+3	S+4	S+5
9.270091618	11.77078502	12.87396894	14.71135583	2.74700918	14.25862292	8.05970349	10.91631758	12.57451509	7.820058204	11.0122803	13.06086775	14.1563977	14.6357129	4.908964623	6.85983933	8.060894173	9.215613773	10.08519779	10.9211171
9.376281244	11.86688017	12.93282167	14.70070977	3.068096767	14.16220882	8.145581722	10.9983352	12.63142753	7.904534867	11.09765636	13.12968989	14.18005129	14.63197312	5.153763051	7.081217648	8.255043234	9.37036503	10.21375941	11.03915227
9.474852666	11.95611606	12.98642326	14.68583933	3.379642668	14.05634066	8.230441257	11.07889162	12.68358822	7.996730078	11.18653539	13.19704335	14.19990869	14.6243182	5.387263435	7.294342754	8.442854324	9.517880461	10.33318924	11.1484268
9.5669734	12.03905702	13.03501326	14.66692027	3.680955233	13.94119777	8.315584134	11.15884779	12.7316363	8.097829743	11.27925618	13.26295629	14.21637706	14.61273301	5.610802776	7.500007188	8.624782123	9.659637668	10.44459435	11.2495921
9.653794079	12.11625565	13.07882643	14.64411841	3.971772498	13.81715203	8.402010193	11.23876598	12.77609507	8.208317715	11.37570933	13.32730375	14.22971767	14.59713002	5.825551389	7.698850991	8.801127815	9.796845509	10.54893946	11.34318597
9.736469011	12.18828148	13.11810924	14.6176691	4.252136704	13.68481126	8.490545575	11.31902482	12.81746885	8.328055291	11.47546053	13.38994534	14.24014472	14.57741367	6.032610703	7.891449921	8.972121343	9.930518597	10.64714424	11.4297216
9.815942827	12.25564391	13.15312249	14.58775136	4.522439017	13.54480572	8.581565117	11.39969448	12.85609843	8.456141235	11.57770889	13.45058625	14.24765172	14.5533963	6.232891969	8.078282775	9.137980411	10.06132805	10.7399345	11.50967555
9.893018444	12.31880393	13.1841063	14.55454125	4.781887438	13.39781144	8.675178711	11.48064497	12.89219815	8.591233838	11.68147009	13.50886356	14.25213427	14.52486976	6.427140289	8.259737187	9.298877082	10.18967836	10.82788146	11.5834561
9.968359647	12.37817797	13.21129679	14.51819007	5.031416544	13.24447752	8.771286089	11.56162365	12.92587754	8.731763576	11.78569705	13.56436302	14.25336224	14.49156618	6.61597634	8.436146739	9.454992647	10.31579198	10.91142929	11.65143406
10.04247313	12.43410882	13.23491192	14.47882901	5.272389355	13.08539762	8.869641172	11.64227751	12.95714018	8.876089612	11.88935381	13.61664038	14.2510271	14.45319905	6.7998848	8.607775532	9.606483477	10.43972575	10.99088915	11.71392042
10.11576024	12.48689782	13.2551422	14.43656335	5.505464728	12.92107856	8.969891884	11.72220023	12.98589914	9.022622173	11.9914662	13.6652291	14.24476187	14.40944617	6.979256015	8.77484457	9.75351182	10.56141983	11.06645638	11.77116547
10.1884785	12.5367932	13.27215966	14.39146089	5.731309889	12.75192544	9.071602202	11.80095752	13.01197199	9.169906505	12.09114972	13.70965997	14.23415269	14.35998338	7.154353969	8.937512877	9.896242842	10.68070799	11.13821109	11.82336597
10.26024793	12.58374612	13.286124	14.34342829	5.950985666	12.57792932	9.173818304	11.87793775	13.03494915	9.316616062	12.18758276	13.74936678	14.21859852	14.30442374	7.324983758	9.095800277	10.03513744	10.7972045	11.20598074	11.87078419
10.33162365	12.62804545	13.29711022	14.29255953	6.164709664	12.3995422	9.276498568	11.95280842	13.05466284	9.461834547	12.28020264	13.78404713	14.19785372	14.24248677	7.491552181	9.249799836	10.17007094	10.91078923	11.26981404	11.91335336
10.40275302	12.6698197	13.30517934	14.23884116	6.372946966	12.21695984	9.379245673	12.02511736	13.07079122	9.604690349	12.36846168	13.8133441	14.17157143	14.17388233	7.654219873	9.39953701	10.30110382	11.02115621	11.32956465	11.95103039
10.47386781	12.70921906	13.31035126	14.18225198	6.576005996	12.03040135	9.481732062	12.09441872	13.08302578	9.744425208	12.45189078	13.83695294	14.13946348	14.09835641	7.813249971	9.54504349	10.42818827	11.12797252	11.38505546	11.98366552
10.54510291	12.74635703	13.31261101	14.12273017	6.774239513	11.83999562	9.583578474	12.16026139	13.09100182	9.880446001	12.53012411	13.85462603	14.10128298	14.01570337	7.968869439	9.686330547	10.55129016	11.23081409	11.43600831	12.01105423
10.61655428	12.7813302	13.31190001	14.06018394	6.968124157	11.64587205	9.684407257	12.22219865	13.0943628	10.01229296	12.60290171	13.86620461	14.05688199	13.92582294	8.121356272	9.823401189	10.67030802	11.32919849	11.48207999	12.03289263
10.68832103	12.8142396	13.30812029	13.99451292	7.157843441	11.4481635	9.783824285	12.27980378	13.09278028	10.13961465	12.67005093	13.87161088	14.00620068	13.82868374	8.271062895	9.956287077	10.78506847	11.42255045	11.52284053	12.04877187
10.76043605	12.84516504	13.3011277	13.92559362	7.343416472	11.24702513	9.881416044	12.33267271	13.0859467	10.26216384	12.73148159	13.87084441	13.94927141	13.72435862	8.41837422	10.08502642	10.89534021	11.51019502	11.55777299	12.05818679
10.83272984	12.87407284	13.29073115	13.85320585	7.525027953	11.04243374	9.976749236	12.3804428	13.07354973	10.37983831	12.78719613	13.86393639	13.88612057	13.61293954	8.563533293	10.20959543	11.0009414	11.5913418	11.5862091	12.06054298
10.90510964	12.90099654	13.27670301	13.77721724	7.702586475	10.83462667	10.06944608	12.42281628	13.05542421	10.49254528	12.83725249	13.85104971	13.81698261	13.49470129	8.706988172	10.33008691	11.10148243	11.66513333	11.60747004	12.05512594
10.97730099	12.92587136	13.25878091	13.69745602	7.875995439	10.62378769	10.15910077	12.45957642	13.03146098	10.60029099	12.8817851	13.83239585	13.7421373	13.36997984	8.849044543	10.44656513	11.19657961	11.73064179	11.62080105	12.04117943
11.04883785	12.94849952	13.23667831	13.61369175	8.045201672	10.40996354	10.24533743	12.49057786	13.00160825	10.70319075	12.92099417	13.80820895	13.66186661	13.23912422	8.989787422	10.5589976	11.28588797	11.78691957	11.62540095	12.01793023
11.11917338	12.96861555	13.21008298	13.52568864	8.21010172	10.19317471	10.32785528	12.5157838	12.96588484	10.80142841	12.9551242	13.77875233	13.57648647	13.10252289	9.129135394	10.66728854	11.36904879	11.83308652	11.62052539	11.98466591
11.18768144	12.98586863	13.17868636	13.43318238	8.370592651	9.973323704	10.4064482	12.53523714	12.92438836	10.89525012	12.98445215	13.74428594	13.48629585	12.96052262	9.266840599	10.77124932	11.4457116	11.86840048	11.6055453	11.9407729
11.25373044	12.99987013	13.14217352	13.33589699	8.526544743	9.750212079	10.48103107	12.54906951	12.87724922	10.98493981	13.00925538	13.70504137	13.39155257	12.81343687	9.40246945	10.87056308	11.5155268	11.89233229	11.58002125	11.88582241
11.31672708	13.01026178	13.10029126	13.23367623	8.67769362	9.523746467	10.55159636	12.55747953	12.8247186	11.07075063	13.02980569	13.66128061	13.29257724	12.66161962	9.535530828	10.96492259	11.57808539	11.90465984	11.54384836	11.81965644
11.3761187	13.01668242	13.05281702	13.12634899	8.823808625	9.293643153	10.61823224	12.56071225	12.7670237	11.15295762	13.04635077	13.61318619	13.18957453	12.50531009	9.665345489	11.05385026	11.63302484	11.90544993	11.49717715	11.74238494
11.43146187	13.0188336	12.99960896	13.01381013	8.964609848	9.059559632	10.68109916	12.55903956	12.70441736	11.23181862	13.05911261	13.56089851	13.08270281	12.3446732	9.791230853	11.13686953	11.67997814	11.8950638	11.44043992	11.65436235
11.48242763	13.01653612	12.94062206	12.89611322	9.099701354	8.821258641	10.74040533	12.55277282	12.63719543	11.30754738	13.06827494	13.50454969	12.97214125	12.17991068	9.912440478	11.21348588	11.71857393	11.87412333	11.37435786	11.55620719
11.52881133	13.00973552	12.87598157	12.77352901	9.228577429	8.578665565	10.79637657	12.54225761	12.56573215	11.38029628	13.07400778	13.44429624	12.85811653	12.01126587	10.02819291	11.2832967	11.74847643	11.84346077	11.29989065	11.44875114
11.57053594	12.99827809	12.80555251	12.64576309	9.351113805	8.330559867	10.84932419	12.52764021	12.48993599	11.45031687	13.07631269	13.37985823	12.74019368	11.83826523	10.13794564	11.3455776	11.76946595	11.80371925	11.21762868	11.33250511
11.60759333	12.98224002	12.72951711	12.51309236	9.466759404	8.076655005	10.89946592	12.5091568	12.41002943	11.51763921	13.07518916	13.31119634	12.61837762	11.66096977	10.24110798	11.3998052	11.78131871	11.75573464	11.12852527	11.20832578
11.64017225	12.96170673	12.64785809	12.37548071	9.575172829	7.815959414	10.94711352	12.48695302	12.32596491	11.58239294	13.07057717	13.23801849	12.49225878	11.47886939	10.3375551	11.4457116	11.78382786	11.70012369	11.03320253	11.07663316
11.66841015	12.93689559	12.56086866	12.23337944	9.6757591	7.548335358	10.99243996	12.46122532	12.23794819	11.64449767	13.06239394	13.16023436	12.36182224	11.29201005	10.42698759	11.48302642	11.77695457	11.63760879	10.93253667	10.93819939
11.69253937	12.90804085	12.46876517	12.08712807	9.768090264	7.273399482	11.03564583	12.43212071	12.14606289	11.70390584	13.05053442	13.07764765	12.22688075	11.10019817	10.50939878	11.51168554	11.76076541	11.56875305	10.82719087	10.79354803
11.71284408	12.87534896	12.37165884	11.93692824	9.85191541	6.990525322	11.0769243	12.39971352	12.05024438	11.76058305	13.03483292	12.98994479	12.08706765	10.90300149	10.5850025	11.53176878	11.73538409	11.49391511	10.71759312	10.64295097
11.72957296	12.83907751	12.26978371	11.78319585	9.927039639	6.699542028	11.11639187	12.3640855	11.95053669	11.8144061	13.01513333	12.89691845	11.94222093	10.70027007	10.65403111	11.54341984	11.70110149	11.41347244	10.60424766	10.4868228
11.74299677	12.79951975	12.16344167	11.62643584	9.993449017	5.303783362	11.15414389	12.32533296	11.84700907	11.86526096	12.99131691	12.79842135	11.79226208	10.49192731	10.71672768	11.54695579	11.65831577	11.3277532	10.48761767	10.32556697
11.75337237	12.75693264	12.0528747	11.4670899	10.05136093	4.99666925	11.19022521	12.28349345	11.73965144	11.91303248	12.96324651	12.6942787	11.63707826	10.2778452	10.77341853	11.54270968	11.60747325	11.23699298	10.36805247	10.15951305
11.76094845	12.71153054	11.93824095	11.30550184	10.10119699	4.680359993	11.22464958	12.23854037	11.62835725	11.9576183	12.93077182	12.5842792	11.47650412	10.057822	10.82442655	11.53103545	11.54900817	11.14132433	10.24576922	9.988896363
11.76594037	12.66362367	11.81994646	11.14231124	10.14347385	4.357866269	11.25735213	12.19051378	11.51322026	11.9988772	12.89384329	12.46845811	11.31076551	9.832108922	10.86996236	11.51232011	11.48352454	11.04105696	10.12120846	9.814302212
11.76855523	12.61338827	11.6981371	10.97781137	10.17889353	4.028310923	11.2882291	12.13930279	11.3940645	12.03670473	12.85233175	12.34665609	11.13979726	9.600577606	10.91025611	11.48688367	11.41145639	10.93629151	9.99450016	9.636016235
11.76897091	12.56101189	11.57300744	10.81233904	10.20819404	3.692168961	11.31711228	12.08477997	11.27073006	12.07098304	12.80613111	12.21879537	10.9636783	9.363243331	10.94546218	11.45500636	11.33325578	10.82717147	9.865817338	9.454454582
11.76734291	12.50671063	11.44485015	10.64631058	10.23210629	0	11.34377085	12.02681508	11.14312414	12.10156837	12.75518782	12.08490857	10.78268327	9.120320519	10.97565281	11.41696652	11.24942829	10.71395315	9.735414445	9.270217517
11.76378651	12.45048621	11.31355298	10.47962857	10.25138024	0	11.36790729	11.96504452	11.01074929	12.12829585	12.6992522	11.94467954	10.59660479	8.871413548	11.00095006	11.37282918	11.16015628	10.59656961	9.603119462	9.083456035
11.75841148	12.39251757	11.17938804	10.3126089	10.26665731	0	11.38918027	11.89924745	10.87344035	12.15100191	12.63824858	11.79815254	10.40581063	8.6167569	11.02131337	11.32281036	11.06589328	10.47530646	9.469132486	8.894844207
11.75129142	12.33286245	11.04241405	10.14528033	10.27852954	0	11.40719709	11.82907917	10.7308412	12.16946576	12.57200098	11.64520408	10.21046299	8.356289797	11.03678454	11.26697919	10.96693307	10.35030812	9.333441229	8.704834892
11.74247532	12.27155353	10.9026658	9.977613875	10.28751509	0	11.42154141	11.75416403	10.58258489	12.1834663	12.50031608	11.48569872	10.01075352	8.089936888	11.04741507	11.20536408	10.86353639	10.22172192	9.19600199	8.513863233
11.73198259	12.20853003	10.76002948	9.809377879	10.29404275	0	11.43177856	11.67405148	10.42818503	12.19275696	12.4229311	11.31937884	9.806736735	7.81739942	11.05325136	11.13790454	10.75584514	10.08957662	9.056603789	8.322171727
11.71986637	12.14396047	10.61482764	9.640794374	10.29846881	0	11.43756825	11.58858877	10.26765271	12.1971868	12.33986665	11.14647223	9.599138241	7.539125048	11.05434106	11.06480229	10.64437359	9.954311026	8.915462627	8.130478509
11.70611755	12.07774934	10.46692987	9.47156306	10.30108428	0	11.43857241	11.49742175	10.10063931	12.19657132	12.25093207	10.9668023	9.388134963	7.254881464	11.05079336	10.98597629	10.52925963	9.815959414	8.772335645	7.938912814
11.6907302	12.0098629	10.31632267	9.301494442	10.30212088	0	11.43455453	11.40035145	9.927035016	12.19080496	12.15607644	10.78039365	9.17413834	6.964699832	11.04274872	10.90138148	10.41074519	9.674671038	8.627097412	7.747666561
11.67369994	11.94027337	10.16302414	9.130430268	10.30176333	0	11.42539563	11.29731395	9.746897187	12.17987337	12.05534775	10.58738989	8.957647985	6.668735262	11.03036086	10.81100496	10.28910266	9.530617138	8.479648718	7.556883584
11.65505195	11.86906736	10.00726971	8.958421962	10.30014966	0	11.41115823	11.18851507	9.560656123	12.16390941	11.94902827	10.38825932	8.739475033	5.270322405	11.01383117	10.71502424	10.1647899	9.384158	8.3300991	7.366854236
11.634714	11.79597798	9.848689038	8.784891047	10.29737089	0	11.39186801	11.07386126	9.368260845	12.14296793	11.83708757	10.18291372	8.519620638	4.9637477	10.99332775	10.61306976	10.03773318	9.235104045	8.177974902	7.177123652
11.61274043	11.72115827	9.68764666	8.610025289	10.29349514	0	11.3678533	10.95387369	9.170540396	12.11739394	11.72005175	9.972128289	8.298984	4.652545118	10.96908307	10.50550406	9.908488772	9.083910923	8.023515838	6.987956145
11.58914502	11.64460893	9.524248086	8.43374264	10.2885622	0	11.33946933	10.82897423	8.96818164	12.08752233	11.59833957	9.756465704	8.078039724	4.337341437	10.94136134	10.39242609	9.777356489	8.930796772	7.866724368	6.799275056
11.56397324	11.56639742	9.35870941	8.256089657	10.28259039	0	11.30716431	10.69972849	8.762062314	12.05377353	11.47247707	9.536645545	7.857273983	4.018762893	10.91044777	10.27415785	9.644710308	8.776068891	7.707714917	6.611070845
11.53726108	11.4865169	9.191129506	8.07698614	10.27556241	0	11.27138385	10.5666378	8.552946708	12.01655284	11.34289028	9.313251182	7.636846818	3.695314406	10.87659422	10.15112459	9.510784878	8.619919374	7.546499479	6.423178676
