col0	col1	col2
CII	-3.9919999999996634	-3.9929999999996637
CIII	-4.497999999999832	-2.7339999999992433
CIV	-3.1419999999993795	-3.14299999999938
CV	-3.3759999999994577	-3.3749999999994573
MgII	-3.939999999999646	-3.9409999999996463
NeVIII	-3.5459999999995144	-3.5469999999995148
NII	-4.016999999999672	-4.017999999999672
NIII	-2.660999999999219	-4.375999999999792
NIV	-3.244999999999414	-3.2459999999994142
OII	-4.046999999999682	-4.047999999999682
OIII	-4.31199999999977	-2.4539999999991498
OIV	-3.179999999999392	-3.1809999999993925
OV	-3.3669999999994547	-3.3659999999994543
OVI	-3.418999999999472	-3.4179999999994717
SiII	-3.780999999999593	-3.7799999999995926
SiIII	-2.1929999999990626	-3.83199999999961
SiIV	-4.142999999999714	-2.4689999999991548
SIV	-4.1419999999997135	-3.058999999999352
SV	-4.569999999999856	-3.26299999999942
SVI	-4.976999999999992	-3.2639999999994203
